04.12.2012 16:24:16 - It can be possible that someone tried to upload something without permissions! If you think this is the case the IP of this user is logged: 190.244.90.225. He tried to upload the following file: Happy day-II-mix.mp3
04.12.2012 16:24:16 - Or it is possible that the session handling of the server is not o.k. Therefore TFU simulates a basic session handling and uses the session_cache folder for that.
04.12.2012 16:24:16 - Directory session_cache could be created! TFU does now an internal session handling. Delete the directory session_cache to turn the internal handling off.
04.12.2012 16:25:23 - Or it is possible that the session handling of the server is not o.k. Therefore TFU simulates a basic session handling and uses the session_cache folder for that.
04.12.2012 16:25:24 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 1404: mkdir() [<a href='function.mkdir'>function.mkdir</a>]: File exists
04.12.2012 16:25:24 - Directory session_cache could not be created! Please create the sub directoy session_cache and set the permissions of it to 777.
04.12.2012 23:48:20 - ERROR 8 in onents/com_jfuploader/tfu/tfu_helper.php, line 2403: Undefined offset:  10
04.17.2012 10:49:23 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 2071: filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for _FILE_NOT_FOUND
04.17.2012 10:49:27 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 1912: Invalid argument supplied for foreach()
04.17.2012 10:49:28 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 1912: Invalid argument supplied for foreach()
04.17.2012 10:49:44 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 2071: filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for _FILE_NOT_FOUND
04.17.2012 10:49:46 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 1912: Invalid argument supplied for foreach()
06.28.2012 22:32:26 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 2071: filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for _FILE_NOT_FOUND
06.28.2012 22:32:29 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 2071: filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for _FILE_NOT_FOUND
02.26.2015 12:34:12 - ERROR 2 in onents/com_jfuploader/tfu/tfu_helper.php, line 2071: filesize() [<a href='function.filesize'>function.filesize</a>]: stat failed for _FILE_NOT_FOUND
